id,doi,arxiv_link,update_date,title,best_guess_paper_used_code,code_repository_linked_in_paper,code_repository_link,found_via,comments
2101.10263,,https://arxiv.org/abs/2101.10263,2021-01-26,"Generative Autoencoder Kernels on Deep Learning for Brain Activity
  Analysis",yes,no,https://github.com/galtan-PhD/Deep_Autoencoder_with_ELM,google search corresponding author -> github profile -> repositories,
2106.09719,,https://arxiv.org/abs/2106.09719,2021-12-03,"Machining Cycle Time Prediction: Data-driven Modelling of Machine Tool
  Feedrate Behavior with Neural Networks",yes,no,,,
2107.05962,,https://arxiv.org/abs/2107.05962,2021-07-23,COLiER: Collaborative Editing of Raster Images,yes,no,,,
2112.08371,10.1007/978-3-030-74009-2,https://arxiv.org/abs/2112.08371,2021-12-17,Blockchain as an IoT intermediary,yes,no,,,
1803.09565,10.1371/journal.pcbi.1006454,https://arxiv.org/abs/1803.09565,2018-09-13,"SIG-DB: leveraging homomorphic encryption to Securely Interrogate
  privately held Genomic DataBases",yes,yes,https://github.com/BNext-IQT/GEMstone,,
2202.13538,10.14778/3551793.3551831,https://arxiv.org/abs/2202.13538,2022-08-04,"Algorithm and System Co-design for Efficient Subgraph-based Graph
  Representation Learning",yes,yes,https://github.com/Graph-COM/SUREL,,
2111.14338,,https://arxiv.org/abs/2111.14338,2021-11-30,Improving Deep Learning Interpretability by Saliency Guided Training,yes,yes,https://github.com/ayaabdelsalam91/saliency_guided_training,,
2102.12646,10.1016/j.orl.2021.02.004,https://arxiv.org/abs/2102.12646,2021-05-28,"Spanning Tree Constrained Determinantal Point Processes are Hard to
  (Approximately) Evaluate",no,no,,,
1807.06007,10.2139/ssrn.3229363,https://arxiv.org/abs/1807.06007,2020-02-25,On Lebesgue Integral Quadrature,yes,no,,,"""available from the authors"""
1706.07119,10.1016/j.neucom.2018.07.071,https://arxiv.org/abs/1706.07119,2019-05-06,"""Parallel Training Considered Harmful?"": Comparing series-parallel and
  parallel feedforward network training",yes,yes,https://github.com/antonior92/ParallelTrainingNN.jl,,
2003.01479,10.1109/SPAWC48557.2020.9154322,https://arxiv.org/abs/2003.01479,2021-10-22,"End-to-End Fast Training of Communication Links Without a Channel Model
  via Online Meta-Learning",yes,yes,https://github.com/kclip/meta-autoencoder-without-channel-model,,
2110.06912,,https://arxiv.org/abs/2110.06912,2021-10-14,OPEn: An Open-ended Physics Environment for Learning Without a Task,yes,no,https://github.com/chuangg/OPEn,google search author -> github profile -> repositories,
2009.10761,,https://arxiv.org/abs/2009.10761,2022-06-22,"On the Locality of Nash-Williams Forest Decomposition and Star-Forest
  Decomposition",no,no,,,
2205.04892,,https://arxiv.org/abs/2205.04892,2022-10-14,"GRU-TV: Time- and velocity-aware GRU for patient representation on
  multivariate clinical time-series data",yes,no,https://github.com/Gao-RX/GRU-TV,github search for part of title,
1501.05151,10.1109/MAES.2016.150083,https://arxiv.org/abs/1501.05151,2018-01-01,Recursive Bayesian Filtering in Circular State Spaces,yes,no,https://github.com/KIT-ISAS/libDirectional,google search author -> github profile -> repositories in 2018,i think...
2111.11661,,https://arxiv.org/abs/2111.11661,2021-11-24,"Optimum Noise Mechanism for Differentially Private Queries in Discrete
  Finite Sets",no,no,,,
2007.10100,,https://arxiv.org/abs/2007.10100,2020-07-21,Computing stable resultant-based minimal solvers by hiding a variable,yes,no,https://github.com/snehalbhayani/aut_gen_sparse_res_solver,google search author -> github profile -> repositories in 2020,
2205.04052,,https://arxiv.org/abs/2205.04052,2022-05-10,"Realization of Lattice Formation in Nonlinear Two-dimensional Potential
  by Mobile Robots",no,no,,,
2105.05438,,https://arxiv.org/abs/2105.05438,2021-05-13,Indoor positioning systems: Smart fusion of a variety of sensor readings,yes,no,,,likely private code due to both authors working in industry
2110.05877,,https://arxiv.org/abs/2110.05877,2021-10-13,"OpenHands: Making Sign Language Recognition Accessible with Pose-based
  Pretrained Models across Languages",yes,yes,https://github.com/AI4Bharat/OpenHands,,
2002.00512,10.1016/j.jcp.2021.110510,https://arxiv.org/abs/2002.00512,2021-07-07,"Variational projector-augmented wave method: a full-potential approach
  for electronic structure calculations in solid-state physics",yes,no,,,
